,Cell,assigned_cluster
612,mouse1_lib3.final_cell_0045,delta
613,mouse1_lib3.final_cell_0046,ductal
614,mouse1_lib3.final_cell_0047,beta
615,mouse1_lib3.final_cell_0048,beta
616,mouse1_lib3.final_cell_0049,beta
617,mouse1_lib3.final_cell_0050,delta
618,mouse1_lib3.final_cell_0051,beta
619,mouse1_lib3.final_cell_0052,beta
620,mouse1_lib3.final_cell_0053,beta
621,mouse1_lib3.final_cell_0054,endothelial
622,mouse1_lib3.final_cell_0055,endothelial
623,mouse1_lib3.final_cell_0056,ductal
624,mouse1_lib3.final_cell_0057,quiescent_stellate
625,mouse1_lib3.final_cell_0058,beta
626,mouse1_lib3.final_cell_0059,beta
627,mouse1_lib3.final_cell_0060,beta
628,mouse1_lib3.final_cell_0061,beta
629,mouse1_lib3.final_cell_0062,beta
630,mouse1_lib3.final_cell_0063,ductal
631,mouse1_lib3.final_cell_0064,ductal
632,mouse1_lib3.final_cell_0065,beta
633,mouse1_lib3.final_cell_0066,beta
634,mouse1_lib3.final_cell_0067,ductal
635,mouse1_lib3.final_cell_0068,beta
636,mouse1_lib3.final_cell_0069,beta
637,mouse1_lib3.final_cell_0070,ductal
638,mouse1_lib3.final_cell_0071,ductal
639,mouse1_lib3.final_cell_0072,ductal
640,mouse1_lib3.final_cell_0073,ductal
641,mouse1_lib3.final_cell_0074,beta
642,mouse1_lib3.final_cell_0075,beta
643,mouse1_lib3.final_cell_0076,ductal
644,mouse1_lib3.final_cell_0077,beta
645,mouse1_lib3.final_cell_0078,activated_stellate
646,mouse1_lib3.final_cell_0079,immune_other
647,mouse1_lib3.final_cell_0080,beta
648,mouse1_lib3.final_cell_0081,beta
649,mouse1_lib3.final_cell_0082,ductal
650,mouse1_lib3.final_cell_0083,beta
651,mouse1_lib3.final_cell_0084,beta
652,mouse1_lib3.final_cell_0085,quiescent_stellate
653,mouse1_lib3.final_cell_0086,ductal
654,mouse1_lib3.final_cell_0087,ductal
655,mouse1_lib3.final_cell_0088,delta
656,mouse1_lib3.final_cell_0089,ductal
657,mouse1_lib3.final_cell_0090,ductal
658,mouse1_lib3.final_cell_0091,ductal
659,mouse1_lib3.final_cell_0092,beta
660,mouse1_lib3.final_cell_0093,beta
661,mouse1_lib3.final_cell_0094,beta
662,mouse1_lib3.final_cell_0095,quiescent_stellate
663,mouse1_lib3.final_cell_0096,endothelial
664,mouse1_lib3.final_cell_0097,macrophage
665,mouse1_lib3.final_cell_0098,beta
666,mouse1_lib3.final_cell_0099,ductal
667,mouse1_lib3.final_cell_0100,beta
668,mouse1_lib3.final_cell_0101,endothelial
669,mouse1_lib3.final_cell_0102,beta
670,mouse1_lib3.final_cell_0103,gamma
671,mouse1_lib3.final_cell_0104,endothelial
672,mouse1_lib3.final_cell_0105,beta
673,mouse1_lib3.final_cell_0106,beta
674,mouse1_lib3.final_cell_0107,beta
675,mouse1_lib3.final_cell_0108,beta
676,mouse1_lib3.final_cell_0109,T_cell
677,mouse1_lib3.final_cell_0110,beta
678,mouse1_lib3.final_cell_0111,beta
679,mouse1_lib3.final_cell_0112,beta
680,mouse1_lib3.final_cell_0113,beta
681,mouse1_lib3.final_cell_0114,delta
682,mouse1_lib3.final_cell_0115,beta
683,mouse1_lib3.final_cell_0116,endothelial
684,mouse1_lib3.final_cell_0117,beta
685,mouse1_lib3.final_cell_0118,beta
686,mouse1_lib3.final_cell_0119,ductal
687,mouse1_lib3.final_cell_0120,delta
688,mouse1_lib3.final_cell_0121,delta
689,mouse1_lib3.final_cell_0122,beta
690,mouse1_lib3.final_cell_0123,delta
691,mouse1_lib3.final_cell_0124,beta
692,mouse1_lib3.final_cell_0125,endothelial
693,mouse1_lib3.final_cell_0126,delta
694,mouse1_lib3.final_cell_0127,ductal
695,mouse1_lib3.final_cell_0128,endothelial
696,mouse1_lib3.final_cell_0129,beta
697,mouse1_lib3.final_cell_0130,beta
698,mouse1_lib3.final_cell_0131,beta
699,mouse1_lib3.final_cell_0132,beta
700,mouse1_lib3.final_cell_0133,delta
701,mouse1_lib3.final_cell_0134,ductal
702,mouse1_lib3.final_cell_0135,beta
703,mouse1_lib3.final_cell_0136,delta
704,mouse1_lib3.final_cell_0137,beta
705,mouse1_lib3.final_cell_0138,beta
706,mouse1_lib3.final_cell_0139,beta
707,mouse1_lib3.final_cell_0140,beta
708,mouse1_lib3.final_cell_0141,beta
709,mouse1_lib3.final_cell_0142,beta
710,mouse1_lib3.final_cell_0143,beta
711,mouse1_lib3.final_cell_0144,delta
712,mouse1_lib3.final_cell_0145,ductal
713,mouse1_lib3.final_cell_0146,beta
714,mouse1_lib3.final_cell_0147,beta
715,mouse1_lib3.final_cell_0148,quiescent_stellate
716,mouse1_lib3.final_cell_0149,ductal
717,mouse1_lib3.final_cell_0150,delta
718,mouse1_lib3.final_cell_0151,beta
719,mouse1_lib3.final_cell_0152,beta
720,mouse1_lib3.final_cell_0153,beta
721,mouse1_lib3.final_cell_0154,ductal
722,mouse1_lib3.final_cell_0155,beta
723,mouse1_lib3.final_cell_0156,ductal
724,mouse1_lib3.final_cell_0157,ductal
725,mouse1_lib3.final_cell_0158,ductal
726,mouse1_lib3.final_cell_0159,beta
727,mouse1_lib3.final_cell_0160,beta
728,mouse1_lib3.final_cell_0161,ductal
729,mouse1_lib3.final_cell_0162,delta
730,mouse1_lib3.final_cell_0163,endothelial
731,mouse1_lib3.final_cell_0164,ductal
732,mouse1_lib3.final_cell_0165,beta
733,mouse1_lib3.final_cell_0166,ductal
734,mouse1_lib3.final_cell_0167,ductal
735,mouse1_lib3.final_cell_0168,delta
736,mouse1_lib3.final_cell_0169,quiescent_stellate
737,mouse1_lib3.final_cell_0170,endothelial
738,mouse1_lib3.final_cell_0171,beta
739,mouse1_lib3.final_cell_0172,beta
740,mouse1_lib3.final_cell_0173,delta
741,mouse1_lib3.final_cell_0174,ductal
742,mouse1_lib3.final_cell_0175,ductal
743,mouse1_lib3.final_cell_0176,beta
744,mouse1_lib3.final_cell_0177,delta
745,mouse1_lib3.final_cell_0178,beta
746,mouse1_lib3.final_cell_0179,ductal
747,mouse1_lib3.final_cell_0180,ductal
748,mouse1_lib3.final_cell_0181,beta
749,mouse1_lib3.final_cell_0182,beta
750,mouse1_lib3.final_cell_0183,beta
751,mouse1_lib3.final_cell_0184,endothelial
752,mouse1_lib3.final_cell_0185,ductal
753,mouse1_lib3.final_cell_0186,beta
754,mouse1_lib3.final_cell_0187,macrophage
755,mouse1_lib3.final_cell_0188,beta
756,mouse1_lib3.final_cell_0189,beta
757,mouse1_lib3.final_cell_0190,ductal
758,mouse1_lib3.final_cell_0191,beta
759,mouse1_lib3.final_cell_0192,beta
760,mouse1_lib3.final_cell_0193,beta
761,mouse1_lib3.final_cell_0194,beta
762,mouse1_lib3.final_cell_0195,beta
763,mouse1_lib3.final_cell_0196,beta
764,mouse1_lib3.final_cell_0197,ductal
765,mouse1_lib3.final_cell_0198,beta
766,mouse1_lib3.final_cell_0199,beta
767,mouse1_lib3.final_cell_0200,immune_other
768,mouse1_lib3.final_cell_0201,beta
769,mouse1_lib3.final_cell_0202,macrophage
770,mouse1_lib3.final_cell_0203,quiescent_stellate
771,mouse1_lib3.final_cell_0204,ductal
772,mouse1_lib3.final_cell_0205,beta
773,mouse1_lib3.final_cell_0206,beta
774,mouse1_lib3.final_cell_0207,ductal
775,mouse1_lib3.final_cell_0208,delta
776,mouse1_lib3.final_cell_0209,ductal
777,mouse1_lib3.final_cell_0210,beta
778,mouse1_lib3.final_cell_0211,beta
779,mouse1_lib3.final_cell_0212,beta
780,mouse1_lib3.final_cell_0213,beta
781,mouse1_lib3.final_cell_0214,ductal
782,mouse1_lib3.final_cell_0215,ductal
783,mouse1_lib3.final_cell_0216,activated_stellate
784,mouse1_lib3.final_cell_0217,ductal
785,mouse1_lib3.final_cell_0218,ductal
786,mouse1_lib3.final_cell_0219,beta
787,mouse1_lib3.final_cell_0220,B_cell
788,mouse1_lib3.final_cell_0221,ductal
789,mouse1_lib3.final_cell_0222,macrophage
790,mouse1_lib3.final_cell_0223,delta
791,mouse1_lib3.final_cell_0224,beta
792,mouse1_lib3.final_cell_0225,macrophage
793,mouse1_lib3.final_cell_0226,beta
794,mouse1_lib3.final_cell_0227,beta
795,mouse1_lib3.final_cell_0228,ductal
796,mouse1_lib3.final_cell_0229,ductal
797,mouse1_lib3.final_cell_0230,T_cell
798,mouse1_lib3.final_cell_0231,ductal
799,mouse1_lib3.final_cell_0232,ductal
800,mouse1_lib3.final_cell_0233,beta
801,mouse1_lib3.final_cell_0234,ductal
802,mouse1_lib3.final_cell_0235,ductal
803,mouse1_lib3.final_cell_0236,ductal
804,mouse1_lib3.final_cell_0237,ductal
805,mouse1_lib3.final_cell_0238,beta
806,mouse1_lib3.final_cell_0239,ductal
807,mouse1_lib3.final_cell_0240,ductal
808,mouse1_lib3.final_cell_0241,ductal
809,mouse1_lib3.final_cell_0242,beta
810,mouse1_lib3.final_cell_0243,ductal
811,mouse1_lib3.final_cell_0244,ductal
812,mouse1_lib3.final_cell_0245,delta
813,mouse1_lib3.final_cell_0246,delta
814,mouse1_lib3.final_cell_0247,ductal
815,mouse1_lib3.final_cell_0248,endothelial
816,mouse1_lib3.final_cell_0249,ductal
817,mouse1_lib3.final_cell_0250,T_cell
818,mouse1_lib3.final_cell_0251,ductal
819,mouse1_lib3.final_cell_0252,ductal
820,mouse1_lib3.final_cell_0253,endothelial
821,mouse1_lib3.final_cell_0254,ductal
